股票代码,股票简称,股票市场类型
000686.SZ,东北证券,a股
000712.SZ,锦龙股份,a股
001236.SZ,弘业期货,a股
002807.SZ,江阴银行,a股
002839.SZ,张家港行,a股
002936.SZ,郑州银行,a股
002948.SZ,青岛银行,a股
002961.SZ,瑞达期货,a股
601375.SH,中原证券,a股
000008.SZ,神州高铁,a股
000012.SZ,南玻A,a股
000014.SZ,沙河股份,a股
000017.SZ,深中华A,a股
000019.SZ,深粮控股,a股
000020.SZ,深华发A,a股
000028.SZ,国药一致,a股
000030.SZ,富奥股份,a股
000031.SZ,大悦城,a股
000035.SZ,中国天楹,a股
000037.SZ,深南电A,a股
000048.SZ,京基智农,a股
000049.SZ,德赛电池,a股
000055.SZ,方大集团,a股
000059.SZ,华锦股份,a股
000061.SZ,农产品,a股
000068.SZ,华控赛格,a股
000090.SZ,天健集团,a股
000089.SZ,深圳机场,a股
000151.SZ,中成股份,a股
000153.SZ,丰原药业,a股
000156.SZ,华数传媒,a股
000158.SZ,常山北明,a股
000159.SZ,国际实业,a股
000402.SZ,金融街,a股
000407.SZ,胜利股份,a股
000420.SZ,吉林化纤,a股
000419.SZ,通程控股,a股
000421.SZ,南京公用,a股
000422.SZ,湖北宜化,a股
000498.SZ,山东路桥,a股
000501.SZ,武商集团,a股
000509.SZ,华塑控股,a股
000514.SZ,渝开发,a股
000520.SZ,凤凰航运,a股
000530.SZ,冰山冷热,a股
000529.SZ,广弘控股,a股
000545.SZ,金浦钛业,a股
000548.SZ,湖南投资,a股
000547.SZ,航天发展,a股
000550.SZ,江铃汽车,a股
000553.SZ,安道麦A,a股
000554.SZ,泰山石油,a股
000555.SZ,神州信息,a股
000560.SZ,我爱我家,a股
000565.SZ,渝三峡A,a股
000570.SZ,苏常柴A,a股
000567.SZ,海德股份,a股
000572.SZ,海马汽车,a股
000573.SZ,粤宏远A,a股
000581.SZ,威孚高科,a股
000586.SZ,汇源通信,a股
000590.SZ,古汉医药,a股
000600.SZ,建投能源,a股
000603.SZ,盛达资源,a股
000605.SZ,渤海股份,a股
000612.SZ,焦作万方,a股
000619.SZ,海螺新材,a股
000633.SZ,合金投资,a股
000635.SZ,英力特,a股
000650.SZ,仁和药业,a股
000663.SZ,永安林业,a股
000669.SZ,ST金鸿,a股
000672.SZ,上峰材料,a股
000676.SZ,智度股份,a股
000679.SZ,大连友谊,a股
000680.SZ,山推股份,a股
000682.SZ,东方电子,a股
000681.SZ,视觉中国,a股
000685.SZ,中山公用,a股
000690.SZ,宝新能源,a股
000688.SZ,国城矿业,a股
000695.SZ,滨海能源,a股
000701.SZ,厦门信达,a股
000702.SZ,正虹科技,a股
000705.SZ,浙江震元,a股
000707.SZ,双环科技,a股
000715.SZ,中兴商业,a股
000717.SZ,中南股份,a股
000718.SZ,苏宁环球,a股
000726.SZ,鲁泰A,a股
000727.SZ,冠捷科技,a股
000735.SZ,罗牛山,a股
000756.SZ,新华制药,a股
000758.SZ,中色股份,a股
000757.SZ,浩物股份,a股
000761.SZ,本钢板材,a股
000762.SZ,西藏矿业,a股
000767.SZ,晋控电力,a股
000779.SZ,甘咨询,a股
000782.SZ,恒申新材,a股
000788.SZ,北大医药,a股
000791.SZ,甘肃能源,a股
000790.SZ,华神科技,a股
000795.SZ,英洛华,a股
000798.SZ,中水渔业,a股
000799.SZ,酒鬼酒,a股
000801.SZ,四川九洲,a股
000802.SZ,北京文化,a股
000803.SZ,山高环能,a股
000810.SZ,创维数字,a股
000811.SZ,冰轮环境,a股
000812.SZ,陕西金叶,a股
000828.SZ,东莞控股,a股
000829.SZ,天音控股,a股
000848.SZ,承德露露,a股
000850.SZ,华茂股份,a股
000856.SZ,冀东装备,a股
000860.SZ,顺鑫农业,a股
000869.SZ,张裕A,a股
000875.SZ,电投绿能,a股
000881.SZ,中广核技,a股
000885.SZ,城发环境,a股
000890.SZ,法尔胜,a股
000897.SZ,津滨发展,a股
000901.SZ,航天科技,a股
000902.SZ,新洋丰,a股
000912.SZ,泸天化,a股
000913.SZ,钱江摩托,a股
000915.SZ,华特达因,a股
000917.SZ,电广传媒,a股
000919.SZ,金陵药业,a股
